aspect_id,performance_id,aspect_desc,section,judge,total_score
004e382688,648ff2cbff,3Tw2,elements,J1,6.5
004e382688,648ff2cbff,3Tw2,elements,J2,6.5
004e382688,648ff2cbff,3Tw2,elements,J3,6.5
004e382688,648ff2cbff,3Tw2,elements,J4,7.199999999999999
004e382688,648ff2cbff,3Tw2,elements,J5,6.5
004e382688,648ff2cbff,3Tw2,elements,J6,7.199999999999999
004e382688,648ff2cbff,3Tw2,elements,J7,5.8
004e382688,648ff2cbff,3Tw2,elements,J8,6.5
004e382688,648ff2cbff,3Tw2,elements,J9,6.5
005bdf4588,5458eddc1d,4STh,elements,J1,6.199999999999999
005bdf4588,5458eddc1d,4STh,elements,J2,5.199999999999999
005bdf4588,5458eddc1d,4STh,elements,J3,5.199999999999999
005bdf4588,5458eddc1d,4STh,elements,J4,5.199999999999999
005bdf4588,5458eddc1d,4STh,elements,J5,5.199999999999999
005bdf4588,5458eddc1d,4STh,elements,J6,5.199999999999999
005bdf4588,5458eddc1d,4STh,elements,J7,5.199999999999999
005bdf4588,5458eddc1d,4STh,elements,J8,6.199999999999999
005bdf4588,5458eddc1d,4STh,elements,J9,6.199999999999999
007ae3fc4b,9e771ce55d,3Tw4,elements,J1,8.7
007ae3fc4b,9e771ce55d,3Tw4,elements,J2,8.7
007ae3fc4b,9e771ce55d,3Tw4,elements,J3,8.7
007ae3fc4b,9e771ce55d,3Tw4,elements,J4,8.7
007ae3fc4b,9e771ce55d,3Tw4,elements,J5,8
007ae3fc4b,9e771ce55d,3Tw4,elements,J6,8
007ae3fc4b,9e771ce55d,3Tw4,elements,J7,8
007ae3fc4b,9e771ce55d,3Tw4,elements,J8,8.7
007ae3fc4b,9e771ce55d,3Tw4,elements,J9,8.7
00908aacdc,63dab89053,5RLi4,elements,J1,7.5
00908aacdc,63dab89053,5RLi4,elements,J2,8.2
00908aacdc,63dab89053,5RLi4,elements,J3,8.2
00908aacdc,63dab89053,5RLi4,elements,J4,8.2
00908aacdc,63dab89053,5RLi4,elements,J5,7.5
00908aacdc,63dab89053,5RLi4,elements,J6,8.2
00908aacdc,63dab89053,5RLi4,elements,J7,8.9
00908aacdc,63dab89053,5RLi4,elements,J8,8.9
00908aacdc,63dab89053,5RLi4,elements,J9,8.2
00a916f3c0,47f9e8d8ec,3A+2T+2Lo,elements,J1,13.76
00a916f3c0,47f9e8d8ec,3A+2T+2Lo,elements,J2,13.76
00a916f3c0,47f9e8d8ec,3A+2T+2Lo,elements,J3,14.76
00a916f3c0,47f9e8d8ec,3A+2T+2Lo,elements,J4,13.76
00a916f3c0,47f9e8d8ec,3A+2T+2Lo,elements,J5,11.76
00a916f3c0,47f9e8d8ec,3A+2T+2Lo,elements,J6,13.76
00a916f3c0,47f9e8d8ec,3A+2T+2Lo,elements,J7,13.76
00a916f3c0,47f9e8d8ec,3A+2T+2Lo,elements,J8,12.76
00a916f3c0,47f9e8d8ec,3A+2T+2Lo,elements,J9,12.76
00abadf6f3,80c4a7d391,RoLi4,elements,J1,6.3
00abadf6f3,80c4a7d391,RoLi4,elements,J2,6.3
00abadf6f3,80c4a7d391,RoLi4,elements,J3,6.3
00abadf6f3,80c4a7d391,RoLi4,elements,J4,5.7
00abadf6f3,80c4a7d391,RoLi4,elements,J5,6.3
00abadf6f3,80c4a7d391,RoLi4,elements,J6,5.7
00abadf6f3,80c4a7d391,RoLi4,elements,J7,6.3
00abadf6f3,80c4a7d391,RoLi4,elements,J8,6.3
00abadf6f3,80c4a7d391,RoLi4,elements,J9,6.3
00b8614c64,c39eade62e,FiDs4,elements,J1,4.2
00b8614c64,c39eade62e,FiDs4,elements,J2,4.2
00b8614c64,c39eade62e,FiDs4,elements,J3,4.2
00b8614c64,c39eade62e,FiDs4,elements,J4,3.5
00b8614c64,c39eade62e,FiDs4,elements,J5,3.5
00b8614c64,c39eade62e,FiDs4,elements,J6,4.2
00b8614c64,c39eade62e,FiDs4,elements,J7,3.5
00b8614c64,c39eade62e,FiDs4,elements,J8,3.5
00b8614c64,c39eade62e,FiDs4,elements,J9,4.2
00ca1a7f9c,5458eddc1d,3T+2T+2T,elements,J1,8.3
00ca1a7f9c,5458eddc1d,3T+2T+2T,elements,J2,8.3
00ca1a7f9c,5458eddc1d,3T+2T+2T,elements,J3,7.6000000000000005
00ca1a7f9c,5458eddc1d,3T+2T+2T,elements,J4,8.3
00ca1a7f9c,5458eddc1d,3T+2T+2T,elements,J5,7.6000000000000005
00ca1a7f9c,5458eddc1d,3T+2T+2T,elements,J6,8.3
00ca1a7f9c,5458eddc1d,3T+2T+2T,elements,J7,8.3
00ca1a7f9c,5458eddc1d,3T+2T+2T,elements,J8,8.3
00ca1a7f9c,5458eddc1d,3T+2T+2T,elements,J9,8.3
00cdab892f,fe9c5c9bc0,3A,elements,J1,8.5
00cdab892f,fe9c5c9bc0,3A,elements,J2,8.5
00cdab892f,fe9c5c9bc0,3A,elements,J3,8.5
00cdab892f,fe9c5c9bc0,3A,elements,J4,8.5
00cdab892f,fe9c5c9bc0,3A,elements,J5,8.5
00cdab892f,fe9c5c9bc0,3A,elements,J6,7.5
00cdab892f,fe9c5c9bc0,3A,elements,J7,7.5
00cdab892f,fe9c5c9bc0,3A,elements,J8,8.5
00cdab892f,fe9c5c9bc0,3A,elements,J9,7.5
00d93fde06,2650cd9fff,CSSp4,elements,J1,4
00d93fde06,2650cd9fff,CSSp4,elements,J2,3
00d93fde06,2650cd9fff,CSSp4,elements,J3,2.7
00d93fde06,2650cd9fff,CSSp4,elements,J4,3
00d93fde06,2650cd9fff,CSSp4,elements,J5,3.5
00d93fde06,2650cd9fff,CSSp4,elements,J6,4
00d93fde06,2650cd9fff,CSSp4,elements,J7,3.5
00d93fde06,2650cd9fff,CSSp4,elements,J8,3.5
00d93fde06,2650cd9fff,CSSp4,elements,J9,3
00e9dadd37,fc5091d2ac,CCoSp4,elements,J1,4
00e9dadd37,fc5091d2ac,CCoSp4,elements,J2,4
00e9dadd37,fc5091d2ac,CCoSp4,elements,J3,4.5
00e9dadd37,fc5091d2ac,CCoSp4,elements,J4,4
00e9dadd37,fc5091d2ac,CCoSp4,elements,J5,4.5
00e9dadd37,fc5091d2ac,CCoSp4,elements,J6,4
00e9dadd37,fc5091d2ac,CCoSp4,elements,J7,4.5
00e9dadd37,fc5091d2ac,CCoSp4,elements,J8,4
00e9dadd37,fc5091d2ac,CCoSp4,elements,J9,4
0130257de5,8b28eadc1f,3F,elements,J1,6.53
0130257de5,8b28eadc1f,3F,elements,J2,7.23
0130257de5,8b28eadc1f,3F,elements,J3,7.23
0130257de5,8b28eadc1f,3F,elements,J4,5.83
0130257de5,8b28eadc1f,3F,elements,J5,7.23
0130257de5,8b28eadc1f,3F,elements,J6,7.23
0130257de5,8b28eadc1f,3F,elements,J7,7.23
0130257de5,8b28eadc1f,3F,elements,J8,6.53
0130257de5,8b28eadc1f,3F,elements,J9,5.13
0146bc8a4c,7518697566,3Lz+3T<,elements,J1,8.3
0146bc8a4c,7518697566,3Lz+3T<,elements,J2,7.6
0146bc8a4c,7518697566,3Lz+3T<,elements,J3,8.3
